Season,Team,TotalWins,TotalLosses,TotalTies,TotalScoredGoals,TotalAgainstGoals,GoalDifference,Points,WinPercentage,Rank
2012/2013,FC Barcelona,32,2,4,115,40,75,100,84.21,1
2012/2013,Real Madrid,26,5,7,103,42,61,85,68.42,2
2012/2013,Atlético Madrid,23,8,7,65,31,34,76,60.53,3
2012/2013,Valencia CF,19,11,8,67,54,13,65,50.0,4
2012/2013,Real Sociedad,18,8,12,70,49,21,66,47.37,5
2012/2013,Málaga CF,16,13,9,53,50,3,57,42.11,6
2012/2013,Real Betis,16,14,8,57,56,1,56,42.11,7
2012/2013,Rayo Vallecano,16,17,5,50,66,-16,53,42.11,8
2012/2013,Sevilla FC,14,16,8,58,54,4,50,36.84,9
2012/2013,Getafe CF,13,17,8,43,57,-14,47,34.21,10
2012/2013,Levante UD,12,16,10,40,57,-17,46,31.58,11
2012/2013,Athletic Club Bilbao,12,17,9,44,65,-21,45,31.58,12
2012/2013,Real Valladolid CF,11,17,10,49,58,-9,43,28.95,13
2012/2013,RCD Espanyol,11,16,11,43,52,-9,44,28.95,14
2012/2013,Granada CF,11,18,9,37,54,-17,42,28.95,15
2012/2013,RC Celta Vigo,10,21,7,37,52,-15,37,26.32,16
2012/2013,CA Osasuna,10,19,9,33,50,-17,39,26.32,17
2012/2013,Real Zaragoza,9,22,7,37,62,-25,34,23.68,18
2012/2013,RCD Mallorca,9,20,9,43,72,-29,36,23.68,19
2012/2013,RCD La Coruña,8,19,11,47,70,-23,35,21.05,20
2013/2014,Atlético Madrid,28,4,6,77,26,51,90,73.68,1
2013/2014,FC Barcelona,27,5,6,100,33,67,87,71.05,2
2013/2014,Real Madrid,27,5,6,104,38,66,87,71.05,3
2013/2014,Athletic Club Bilbao,20,8,10,66,39,27,70,52.63,4
2013/2014,Sevilla FC,18,11,9,69,52,17,63,47.37,5
2013/2014,Villarreal CF,17,13,8,60,44,16,59,44.74,6
2013/2014,Real Sociedad,16,11,11,62,55,7,59,42.11,7
2013/2014,RC Celta Vigo,14,17,7,49,54,-5,49,36.84,8
2013/2014,Valencia CF,13,15,10,51,53,-2,49,34.21,9
2013/2014,Rayo Vallecano,13,21,4,46,80,-34,43,34.21,10
2013/2014,Málaga CF,12,17,9,39,46,-7,45,31.58,11
2013/2014,Levante UD,12,14,12,35,43,-8,48,31.58,12
2013/2014,Granada CF,12,21,5,32,56,-24,41,31.58,13
2013/2014,RCD Espanyol,11,18,9,41,51,-10,42,28.95,14
2013/2014,Getafe CF,11,18,9,35,54,-19,42,28.95,15
2013/2014,UD Almería,11,20,7,43,71,-28,40,28.95,16
2013/2014,CA Osasuna,10,19,9,32,62,-30,39,26.32,17
2013/2014,Elche CF,9,16,13,30,50,-20,40,23.68,18
2013/2014,Real Valladolid CF,7,16,15,38,60,-22,36,18.42,19
2013/2014,Real Betis,6,25,7,36,78,-42,25,15.79,20
2014/2015,FC Barcelona,30,4,4,110,21,89,94,78.95,1
2014/2015,Real Madrid,30,6,2,118,38,80,92,78.95,2
2014/2015,Atlético Madrid,23,6,9,67,29,38,78,60.53,3
2014/2015,Sevilla FC,23,8,7,71,45,26,76,60.53,4
2014/2015,Valencia CF,22,5,11,70,32,38,77,57.89,5
2014/2015,Villarreal CF,16,10,12,48,37,11,60,42.11,6
2014/2015,Athletic Club Bilbao,15,13,10,42,41,1,55,39.47,7
2014/2015,Rayo Vallecano,15,19,4,46,68,-22,49,39.47,8
2014/2015,Málaga CF,14,16,8,42,48,-6,50,36.84,9
2014/2015,RC Celta Vigo,13,13,12,47,44,3,51,34.21,10
2014/2015,RCD Espanyol,13,15,10,47,51,-4,49,34.21,11
2014/2015,Real Sociedad,11,14,13,44,51,-7,46,28.95,12
2014/2015,Elche CF,11,19,8,35,62,-27,41,28.95,13
2014/2015,Getafe CF,10,21,7,33,64,-31,37,26.32,14
2014/2015,SD Eibar,9,21,8,34,55,-21,35,23.68,15
2014/2015,Levante UD,9,19,10,34,67,-33,37,23.68,16
2014/2015,UD Almería,8,22,8,35,64,-29,32,21.05,17
2014/2015,RCD La Coruña,7,17,14,35,60,-25,35,18.42,18
2014/2015,Granada CF,7,17,14,29,64,-35,35,18.42,19
2014/2015,Córdoba CF,3,24,11,22,68,-46,20,7.89,20
2015/2016,FC Barcelona,29,5,4,112,29,83,91,76.32,1
2015/2016,Atlético Madrid,28,6,4,63,18,45,88,73.68,2
2015/2016,Real Madrid,27,5,6,110,34,76,87,71.05,3
2015/2016,Athletic Club Bilbao,18,12,8,58,45,13,62,47.37,4
2015/2016,Villarreal CF,18,10,10,44,35,9,64,47.37,5
2015/2016,RC Celta Vigo,17,12,9,51,59,-8,60,44.74,6
2015/2016,Sevilla FC,14,14,10,51,50,1,52,36.84,7
2015/2016,Real Sociedad,13,16,9,45,48,-3,48,34.21,8
2015/2016,Málaga CF,12,14,12,38,35,3,48,31.58,9
2015/2016,UD Las Palmas,12,18,8,45,53,-8,44,31.58,10
2015/2016,RCD Espanyol,12,19,7,40,74,-34,43,31.58,11
2015/2016,Valencia CF,11,16,11,46,48,-2,44,28.95,12
2015/2016,SD Eibar,11,17,10,49,61,-12,43,28.95,13
2015/2016,Real Betis,11,15,12,34,52,-18,45,28.95,14
2015/2016,Rayo Vallecano,10,17,11,52,73,-21,41,26.32,15
2015/2016,Sporting Gijón,10,19,9,40,62,-22,39,26.32,16
2015/2016,Granada CF,10,19,9,46,69,-23,39,26.32,17
2015/2016,Getafe CF,9,20,9,37,67,-30,36,23.68,18
2015/2016,RCD La Coruña,8,12,18,45,61,-16,42,21.05,19
2015/2016,Levante UD,8,22,8,37,70,-33,32,21.05,20
2016/2017,Real Madrid,29,3,6,106,41,65,93,76.32,1
2016/2017,FC Barcelona,28,4,6,116,37,79,90,73.68,2
2016/2017,Atlético Madrid,23,6,9,70,27,43,78,60.53,3
2016/2017,Sevilla FC,21,8,9,69,49,20,72,55.26,4
2016/2017,Villarreal CF,19,9,10,56,33,23,67,50.0,5
2016/2017,Athletic Club Bilbao,19,13,6,53,43,10,63,50.0,6
2016/2017,Real Sociedad,19,12,7,59,53,6,64,50.0,7
2016/2017,SD Eibar,15,14,9,56,51,5,54,39.47,8
2016/2017,RCD Espanyol,15,12,11,49,50,-1,56,39.47,9
2016/2017,Deportivo Alavés,14,11,13,41,43,-2,55,36.84,10
2016/2017,Valencia CF,13,18,7,56,65,-9,46,34.21,11
2016/2017,RC Celta Vigo,13,19,6,53,69,-16,45,34.21,12
2016/2017,Málaga CF,12,16,10,49,55,-6,46,31.58,13
2016/2017,UD Las Palmas,10,19,9,53,74,-21,39,26.32,14
2016/2017,Real Betis,10,19,9,41,64,-23,39,26.32,15
2016/2017,RCD La Coruña,8,18,12,43,61,-18,36,21.05,16
2016/2017,CD Leganés,8,19,11,36,55,-19,35,21.05,17
2016/2017,Sporting Gijón,7,21,10,42,72,-30,31,18.42,18
2016/2017,Granada CF,4,26,8,30,82,-52,20,10.53,19
2016/2017,CA Osasuna,4,24,10,40,94,-54,22,10.53,20
2017/2018,FC Barcelona,28,1,9,99,29,70,93,73.68,1
2017/2018,Atlético Madrid,23,5,10,58,22,36,79,60.53,2
2017/2018,Real Madrid,22,6,10,94,44,50,76,57.89,3
2017/2018,Valencia CF,22,9,7,65,38,27,73,57.89,4
2017/2018,Villarreal CF,18,13,7,57,50,7,61,47.37,5
2017/2018,Real Betis,18,14,6,60,61,-1,60,47.37,6
2017/2018,Sevilla FC,17,14,7,49,58,-9,58,44.74,7
2017/2018,Getafe CF,15,13,10,42,33,9,55,39.47,8
2017/2018,Deportivo Alavés,15,21,2,40,50,-10,47,39.47,9
2017/2018,Real Sociedad,14,17,7,66,59,7,49,36.84,10
2017/2018,SD Eibar,14,15,9,44,50,-6,51,36.84,11
2017/2018,Girona FC,14,15,9,50,59,-9,51,36.84,12
2017/2018,RC Celta Vigo,13,15,10,59,60,-1,49,34.21,13
2017/2018,RCD Espanyol,12,13,13,36,42,-6,49,31.58,14
2017/2018,CD Leganés,12,19,7,34,51,-17,43,31.58,15
2017/2018,Levante UD,11,14,13,44,58,-14,46,28.95,16
2017/2018,Athletic Club Bilbao,10,15,13,41,49,-8,43,26.32,17
2017/2018,RCD La Coruña,6,21,11,38,76,-38,29,15.79,18
2017/2018,Málaga CF,5,28,5,24,61,-37,20,13.16,19
2017/2018,UD Las Palmas,5,26,7,24,74,-50,22,13.16,20
2018/2019,FC Barcelona,26,3,9,90,36,54,87,68.42,1
2018/2019,Atlético Madrid,22,6,10,55,29,26,76,57.89,2
2018/2019,Real Madrid,21,12,5,63,46,17,68,55.26,3
2018/2019,Sevilla FC,17,13,8,62,47,15,59,44.74,4
2018/2019,Valencia CF,15,7,16,51,35,16,61,39.47,5
2018/2019,Getafe CF,15,9,14,48,35,13,59,39.47,6
